"","Title","News_Link","Date","Status","Status_Frequency"
"43","国台办:“台独”势力推“奥运正名公投”牺牲台胞利益福祉_中共...","http://www.gwytb.gov.cn/wyly/201809/t20180912_12058922.htm",2018-09-12,"Independence Advocates",3
"44","贾庆林:“台独”是两岸关系发展最大威胁_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723770.htm",2004-09-27,"Independence Advocates",2
"45","国台办:岛内负责任的政党和人士不应放任“台独”分子操纵“修宪谋...","http://www.gwytb.gov.cn/wyly/202010/t20201028_12303686.htm",2020-10-28,"Independence Advocates",2
"46","国台办:美国各界勿向民进党当局和“台独”势力释放错误信号_中共...","http://www.gwytb.gov.cn/wyly/202010/t20201028_12303685.htm",2020-10-28,"Independence Advocates",2
"47","国台办:以“公投正名”方式搞“台独”十分危险且不可能得逞_中共...","http://www.gwytb.gov.cn/wyly/201803/t20180328_11937830.htm",2018-03-28,"Independence Advocates",1
"48","台盟中央副主席:岛内“教育台独”值得关注_中共中央台湾工作办公...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886170.htm",2004-11-12,"Independence Advocates",1
"49","国台办:强改课纲将中国史纳入东亚史是“台独”行径又一实证_中共...","http://www.gwytb.gov.cn/wyly/201808/t20180815_12047573.htm",2018-08-15,"Independence Advocates",1
"50","贾庆林:坚决反对任何形式的“台独”分裂活动_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723740.htm",2004-03-04,"Independence Advocates",1
"51","人民日报:和平发展大势所趋 “台独”挑衅不得人心_中共中央台湾...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674435.htm",2020-11-20,"Independence Advocates",2
"52","“入联公投”是迈向“台独”的一大步_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674423.htm",2020-11-20,"Independence Advocates",2
"53","国台办评“台独”组织搞所谓“制宪公投”:是历史逆流,是绝路_中共...","http://www.gwytb.gov.cn/wyly/202004/t20200428_12270456.htm",2020-04-28,"Independence Advocates",1
"54","国台办:中美两国元首确认立场 “台独”没有国际空间_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201509/t20150930_10768904.htm",2015-09-30,"Independence Advocates",1
"55","22、为什么必须高度警惕和坚决反对台湾分裂势力大搞“文化台独...","http://www.gwytb.gov.cn/zt/jqa/201103/t20110309_1778263.htm",2020-11-16,"Independence Advocates",2
"56","孙亚夫:“法理台独”是两岸和平稳定的最大威胁_中共中央台湾工作...","http://www.gwytb.gov.cn/newsb/201101/t20110124_1729568.htm",2007-01-19,"Independence Advocates",1
"57","贾庆林:坚决反对和遏制“台独”分裂势力及活动_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723837.htm",2020-11-16,"Independence Advocates",2
"58","刘结一:坚决遏制“台独”分裂图谋 奋力推进新时代对台工作_中共...","http://www.gwytb.gov.cn/wyly/202005/t20200529_12278483.htm",2020-05-29,"Independence Advocates",3
"59","影响台海地区安全的隐患是“台独”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674396.htm",2020-11-13,"Independence Advocates",11
"60","国台办:搞“台独”分裂必将自食恶果_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201709/t20170927_11847605.htm",2017-09-27,"Independence Advocates",2
"61","陈水扁“台独”狂飙的经济背景_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674353.htm",2020-11-13,"Independence Advocates",11
"62","张志军:大陆将坚定反对、遏制任何形式的“台独”分裂行径_中共...","http://www.gwytb.gov.cn/wyly/201703/t20170305_11714137.htm",2017-03-05,"Independence Advocates",1
"63","“台独”没有和平 分裂没有稳定_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674251.htm",2020-11-13,"Independence Advocates",11
"64","“图穷匕见”的“台独”“两国论”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674160.htm",2020-11-13,"Independence Advocates",11
"65","国台办发言人就李登辉访日“台独”言论发表评论_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201507/t20150727_10337581.htm",2015-07-24,"Independence Advocates",1
"66","为何跳不出“台独”泥坑?民进党的困境与出路_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674296.htm",2020-11-13,"Independence Advocates",11
"67","国台办:美售台武器只会助长“台独”嚣张气焰、破坏台海和平稳定...","http://www.gwytb.gov.cn/wyly/201909/t20190926_12205402.htm",2019-09-26,"Independence Advocates",1
"68","国台办:事实已经证明“台独”是一条死胡同_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201401/t20140115_5534173.htm",2014-01-15,"Independence Advocates",1
"69","...巩固两岸关系和平发展的关键是反对“台独”、坚持“九二共识...","http://www.gwytb.gov.cn/wyly/201504/t20150429_9696145.htm",2015-04-29,"Independence Advocates",1
"70","胡锦涛会见李显龙 赞赏新加坡反“台独”的立场_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723776.htm",2004-11-19,"Independence Advocates",1
"71","凝聚两岸同胞 遏制“法理台独”_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674407.htm",2020-11-13,"Independence Advocates",11
"72","扁李合流掀“台独”恶浪_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674238.htm",2020-11-13,"Independence Advocates",11
"73","杨文昌:反分裂国家法是遏制“台独”重要步骤_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886175.htm",2004-12-18,"Independence Advocates",1
"74","国台办:坚决反对任何势力借所谓修法为“台独”分裂活动大开方便之...","http://www.gwytb.gov.cn/wyly/201603/t20160330_11423441.htm",2016-03-30,"Independence Advocates",1
"75","陈水扁再度鼓噪“台独”的背后_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674404.htm",2020-11-13,"Independence Advocates",11
"76","“台独外交”四处碰壁_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674186.htm",2020-11-13,"Independence Advocates",11
"77","国台办副主任:“入联公投”是变相的“台独公投”_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1730978.htm",2007-12-17,"Independence Advocates",1
"78","解放军报:“台独”势力抹杀历史漠视抗日伟绩_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674314.htm",2020-11-13,"Independence Advocates",11
"79","陈水扁的“台独”挑衅_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674240.htm",2020-11-13,"Independence Advocates",11
"80","何鲁丽:坚决反对“台湾法理独立”等“台独”分裂活动_中共中央...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723882.htm",2007-03-09,"Independence Advocates",1
"81","俞正声:坚决反对任何形式的“台独”分裂行径_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201703/t20170305_11714139.htm",2017-03-03,"Independence Advocates",1
"82","吴邦国:反对和遏制“台独”符合中美共同利益_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723825.htm",2006-01-12,"Independence Advocates",1
"83","吴建民:希望威胁两岸关系的“台独”活动得到制止_中共中央台湾...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886379.htm",2008-03-03,"Independence Advocates",1
"84","国台办:任何推行“法理台独”的企图都不可能得逞_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201610/t20161026_11604523.htm",2016-10-26,"Independence Advocates",1
"85","李亚飞:两岸互信基础就是双方共同维护的反对“台独”、坚持“九二...","http://www.gwytb.gov.cn/newsb/201101/t20110124_1729824.htm",2010-08-11,"Independence Advocates",2
"86","王在希指陈水扁虽身陷困境但“台独”立场未改_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/tbldjh/201101/t20110123_1724319.htm",2006-12-14,"Independence Advocates",1
"87","国台办:民进党有识之士提出冻结“台独”党纲是积极信号_中共中央...","http://www.gwytb.gov.cn/wyly/201312/t20131227_5439628.htm",2013-12-27,"Independence Advocates",1
"88","唐树备呼吁两岸同胞团结起来制止“台独”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/speech/hxfzrjh/201101/t20110123_1725877.htm",2000-03-16,"Independence Advocates",1
"89","文字游戏未改“台独”本质 陈水扁是岛内最大乱源_中共中央台湾...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674372.htm",2020-11-12,"Independence Advocates",9
"90","暗藏玄机的“台独”说辞_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674257.htm",2020-11-12,"Independence Advocates",9
"91","黄孟复:坚决反对和制止陈水扁推行“法理台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723846.htm",2006-03-30,"Independence Advocates",1
"92","温家宝会见鲍威尔要求美政府恪守承诺反对“台独”_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723731.htm",2003-12-10,"Independence Advocates",1
"93","自取灭亡的“渐进台独”_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1673874.htm",2020-11-12,"Independence Advocates",9
"94","制止“台独”、维护台海和平是两岸同胞最紧迫的任务_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723762.htm",2004-08-02,"Independence Advocates",1
"95","温家宝与霍华德会谈 赞赏澳方反对“台独”立场_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723848.htm",2020-11-12,"Independence Advocates",9
"96","国台办:民进党不放弃“台独”就难以找到出路_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201609/t20160928_11581728.htm",2016-09-28,"Independence Advocates",1
"97","何鲁丽呼吁两岸同胞共同反对“台独”阴谋_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723769.htm",2004-09-16,"Independence Advocates",1
"98","钱其琛在人大分组会上发言指出台湾人民真正应担心的是台独势力的...","http://www.gwytb.gov.cn/zlzx/jhzl/201101/t20110123_1725468.htm",2020-11-12,"Independence Advocates",9
"99","评台湾当局“文化台独”:荒诞不经 难以得逞_中共中央台湾工作办公...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674235.htm",2020-11-12,"Independence Advocates",9
"100","贾庆林:“台独”活动猖獗使台海局势处在高危期_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723905.htm",2007-09-29,"Independence Advocates",2
"101","李肇星联大发言:望国际社会共遏“台独”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886164.htm",2004-09-27,"Independence Advocates",2
"102","贾庆林:“台独”活动猖獗使台海局势处在高危期(图)_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1730928.htm",2007-09-29,"Independence Advocates",2
"103","胡锦涛在法国议会演讲 赞赏法国反对“台独”公投_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723737.htm",2004-01-29,"Independence Advocates",1
"104","胡锦涛应约与布什通电话 强调绝不容忍“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723771.htm",2004-10-08,"Independence Advocates",1
"105","一份顽固坚持“台独”立场的辩解书_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674187.htm",2020-11-12,"Independence Advocates",9
"106","“教育文化领域的‘台独’改造将贻害无穷”_中共中央台湾工作办公...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674184.htm",2011-01-04,"Independence Advocates",8
"107","国台办:“台独”分裂分子企图在谋“独”道路上“飙车”极其危险...","http://www.gwytb.gov.cn/wyly/202005/t20200509_12273145.htm",2020-05-09,"Independence Advocates",1
"108","杨毅周:贯彻“胡四点” 反对“台独”分裂活动_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674336.htm",2020-11-12,"Independence Advocates",9
"109","人民日报评论员:揭穿“台独”包装_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674254.htm",2020-11-12,"Independence Advocates",9
"110","国台办:“台独”没有出路_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/wyly/201309/t20130913_4878862.htm",2013-09-13,"Independence Advocates",1
"111","陈云林:五年来“台独”与反“台独”较量空前激烈_中共中央台湾...","http://www.gwytb.gov.cn/newsb/201101/t20110124_1729574.htm",2007-10-04,"Independence Advocates",1
"112","国台办:坚决反对“台独”和“港独”势力相勾结_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201706/t20170614_11801036.htm",2017-06-14,"Independence Advocates",2
"113","国台办:任何搞“台独”分裂的图谋都不可能得逞_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201712/t20171227_11884424.htm",2017-12-27,"Independence Advocates",2
"114","国台办:搞“台独”只会给台湾带来“苦厄”而非“喜乐”_中共中央...","http://www.gwytb.gov.cn/wyly/201804/t20180411_11941948.htm",2018-04-11,"Independence Advocates",1
"115","温家宝:必须高度警惕“台独”分裂活动的危险性_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723835.htm",2006-03-03,"Independence Advocates",1
"116","...坚定支持一个中国、反对“台独”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201909/t20190911_12200830.htm",2019-09-11,"Independence Advocates",1
"117","国台办:有坚定意志、充分信心和足够能力挫败任何形式“台独”分裂...","http://www.gwytb.gov.cn/wyly/201806/t20180627_11969470.htm",2018-06-27,"Independence Advocates",1
"118","国台办重申:坚决反对任何形式的“台独”分裂活动_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201604/t20160427_11445339.htm",2016-04-27,"Independence Advocates",1
"119","国台办:台当局纵容“台独”分子、打压迫害主张两岸和平统一的人士...","http://www.gwytb.gov.cn/wyly/201712/t20171227_11884423.htm",2017-12-27,"Independence Advocates",2
"120","国台办:只有坚持一个中国原则、反对“台独”,两岸关系才能和平...","http://www.gwytb.gov.cn/wyly/201710/t20171010_11850114.htm",2017-10-10,"Independence Advocates",1
"121","国台办:“台独”“港独”合流破坏“一国两制”和分裂国家的图谋绝...","http://www.gwytb.gov.cn/wyly/202006/t20200619_12282408.htm",2020-06-19,"Independence Advocates",1
"122","国台办:中华民族伟大复兴进程绝不为“台独”分裂活动留下空间...","http://www.gwytb.gov.cn/wyly/202005/t20200508_12272898.htm",2020-05-08,"Independence Advocates",1
"123","李肇星敦促美认清“台独”分裂势力及其危害性_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886244.htm",2006-03-08,"Independence Advocates",1
"124","胡锦涛APEC会布什强调:“台独”将断送台海和平_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723777.htm",2004-11-20,"Independence Advocates",1
"125","李亚飞:两岸互信基础就是双方共同维护的反对“台独”、坚持“九二...","http://www.gwytb.gov.cn/speech/hxfzrjh/201101/t20110123_1726029.htm",2010-08-11,"Independence Advocates",2
"126","国台办:绝不坐视以所谓“制宪”名义推动“法理台独”_中共中央...","http://www.gwytb.gov.cn/wyly/201901/t20190130_12136863.htm",2019-01-30,"Independence Advocates",1
"127","国台办:坚决维护国家主权和领土完整 挫败任何形式“台独”分裂图谋","http://www.gwytb.gov.cn/wyly/201801/t20180131_11913535.htm",2018-01-31,"Independence Advocates",1
"128","...信心和能力挫败任何形式“台独”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201804/t20180413_11943066.htm",2018-04-13,"Independence Advocates",1
"129","国台办:任何“台独”分裂行径都阻挡不了两岸关系和平发展与祖国...","http://www.gwytb.gov.cn/wyly/201903/t20190313_12147971.htm",2019-03-13,"Independence Advocates",1
"130","李克强:不能容忍任何“台独”的企图、主张和行径_中共中央台湾...","http://www.gwytb.gov.cn/m/picnews/201803/t20180321_11935535.htm",2018-03-20,"Independence Advocates",3
"131","国台办:维护国家主权和领土完整是解放军神圣职责,反对“台独”是...","http://www.gwytb.gov.cn/wyly/201904/t20190410_12155380.htm",2019-04-10,"Independence Advocates",2
"132","国台办:坚决反对以包括“公投修法”在内的任何方式进行“台独...","http://www.gwytb.gov.cn/wyly/201810/t20181017_12102016.htm",2018-10-17,"Independence Advocates",1
"133","国台办:“台独”势力在文化教育领域推行“去中国化”无异于螳臂当...","http://www.gwytb.gov.cn/wyly/201706/t20170628_11809890.htm",2017-06-28,"Independence Advocates",1
"134","温家宝指出:台海局势最大的危险在“台独”_中共中央台湾工作办公...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723772.htm",2004-10-10,"Independence Advocates",1
"135","专家:遏制“台独”挑衅是和平发展的重要保障_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674428.htm",2020-11-11,"Independence Advocates",3
"136","李登辉已同“台独”公开合流_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/forum/201101/t20110104_1673564.htm",2020-11-11,"Independence Advocates",3
"137","国台办:“台独”是一条走不通的死路_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/201612/t20161214_11653355.htm",2016-12-14,"Independence Advocates",2
"138","胡锦涛晤布什:勿向“台独”发出错误信号_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723725.htm",2003-10-10,"Independence Advocates",1
"139","国台办:苏贞昌“台独”本性暴露无遗_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/202004/t20200401_12261715.htm",2020-04-01,"Independence Advocates",1
"140","国台办:美方不要向“台独”分裂势力释放错误信号 民进党当局挟洋...","http://www.gwytb.gov.cn/wyly/201906/t20190612_12173356.htm",2019-06-12,"Independence Advocates",2
"141","坚决遏制“台独”分裂活动 维护台海地区和平稳定 继续争取两岸...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723784.htm",2005-01-28,"Independence Advocates",2
"142","国务院台办发言人唐树备就民进党通过“台独”党纲发表的谈话_中共...","http://www.gwytb.gov.cn/zlzx/location/201101/t20110123_1725617.htm",2020-11-10,"Independence Advocates",7
"143","国台办:欢迎台湾任何政党和个人反对“台独”、认同“九二共识...","http://www.gwytb.gov.cn/wyly/201506/t20150624_10105327.htm",2015-06-24,"Independence Advocates",1
"144","杨洁篪与赖斯举行会谈 赖斯重申美反对“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/zchb/201801/t20180103_11886413.htm",2008-06-30,"Independence Advocates",1
"145","美化日本侵台意欲何为 学者:暗为“台独”壮胆_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674331.htm",2020-11-10,"Independence Advocates",7
"146","贾庆林:贯彻对台工作方针 坚决反对“台独”分裂活动_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723904.htm",2007-09-25,"Independence Advocates",1
"147","坐困愁城 陈水扁炒“宪改”推“台独”糊弄人_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674312.htm",2020-11-10,"Independence Advocates",7
"148","汪道涵:“公投立法”是借民主之名搞“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/hxfzrjh/201101/t20110123_1725889.htm",2003-11-18,"Independence Advocates",1
"149","华盛顿和统会:警惕“台独”破坏两岸和平发展势头_中共中央台湾...","http://www.gwytb.gov.cn/gatsw/fdct/201101/t20110111_1691248.htm",2008-10-22,"Independence Advocates",1
"150","陈水扁“渐进式台独”五大阴招_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674266.htm",2011-01-04,"Independence Advocates",8
