"","X","Title","News_Link","Date","Status","Status_Frequency","Daily_Total_Frequency","Year","Month","Day"
"64",64,"伊犁州党委统战部走访调研台资企业并慰问台胞_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180921_12063187.htm","2020-12-06","Compatriots",7,7,2020,12,6
"65",65,"台胞西藏旅游入藏批准函_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/wl/re7/lai7/201312/t20131230_5451295.htm","2020-12-06","Compatriots",7,7,2020,12,6
"66",66,"厦门将设53个受理点方便台胞申办台湾居民居住证_中共中央台湾工作...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055870.htm","2018-08-29","Compatriots",1,1,2018,8,29
"67",67,"在沪台胞积极申领港澳台居民居住证:“我们期盼已久”_中共中央...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055890.htm","2018-09-01","Compatriots",7,7,2018,9,1
"68",68,"“盐城服务”品牌深受台胞台企好评_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/fwtqfa/201807/t20180720_12038213.htm","2018-07-20","Compatriots",1,1,2018,7,20
"69",69,"连云港市全心全意打造台胞台商维权服务“心品牌”_中共中央台湾...","http://www.gwytb.gov.cn/service/gxtbsh/201711/t20171127_11872442.htm","2020-12-05","Compatriots",11,11,2020,12,5
"70",70,"各地服務台胞舉措_中共中央臺灣工作辦公室、國務院臺灣事務辦公室","http://big5.gwytb.gov.cn/fuwu/","2020-12-09","Compatriots",6,8,2020,12,9
"71",71,"聊城市委常委、副市长张旋宇走访台企台胞_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170123_11685593.htm","2020-12-05","Compatriots",11,11,2020,12,5
"72",72,"一分钟看懂卡式台胞证_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/wl/re7/lai7/201705/t20170522_11786612.htm","2015-07-02","Compatriots",1,1,2015,7,2
"73",73,"沈阳市常住台胞踊跃申领台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056307.htm","2020-12-05","Compatriots",11,11,2020,12,5
"74",74,"台籍教师:居住证的便利将吸引更多台胞到平潭来_中共中央台湾工作...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180911_12058250.htm","2018-09-06","Compatriots",3,3,2018,9,6
"75",75,"9月21日起全面启用电子台胞证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/wl/zcfg_43785/l_43904/201509/t20150915_10675288.htm","2015-09-15","Compatriots",1,1,2015,9,15
"76",76,"广西台办开展“六个一”活动 解决台商台胞实际问题_中共中央台湾...","http://www.gwytb.gov.cn/service/201603/t20160315_11410085.htm","2016-03-15","Compatriots",1,1,2016,3,15
"77",77,"无锡市公安局热心服务台胞 用真情签注满意_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377072.htm","2014-03-31","Compatriots",2,2,2014,3,31
"78",78,"2018年广西台商台胞台属中秋茶话会暨涉台政策法规宣讲活动在南宁...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180920_12062325.htm","2020-12-05","Compatriots",11,11,2020,12,5
"79",79,"四川各地春节前夕慰问台企台胞送温暖_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201401/t20140127_5597117.htm","2014-01-27","Compatriots",2,2,2014,1,27
"80",80,"湖北襄阳市台办出台措施服务台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jj/zxzx_43783/201312/t20131231_5456408.htm","2013-09-12","Compatriots",1,1,2013,9,12
"81",81,"成都市温江区建立专务联络员机制为台企台胞提供“保姆式”服务...","http://www.gwytb.gov.cn/service/cxggjc/201805/t20180516_11955338.htm","2020-12-05","Compatriots",11,11,2020,12,5
"82",82,"设台胞优先标志 广西开通台胞就医绿色通道_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201307/t20130726_4502320.htm","2013-07-24","Compatriots",1,1,2013,7,24
"83",83,"南通市服务台企台胞网格化管理经验交流会在如皋举行_中共中央台湾...","http://www.gwytb.gov.cn/fuwu/201410/t20141020_7705631.htm","2014-10-20","Compatriots",1,1,2014,10,20
"84",84,"海协会副会长孙亚夫:台胞理应分享一带一路建设机遇_中共中央台湾...","http://www.gwytb.gov.cn/lhjl/la2008/201602/t20160204_11382943.htm","2020-12-05","Compatriots",11,11,2020,12,5
"85",85,"台胞在就业过程中自身权益受到侵害时的解决途径_中共中央台湾工作...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456872.htm","2020-12-05","Compatriots",11,11,2020,12,5
"86",86,"台胞权益保障_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/tbqy/","2020-12-05","Compatriots",11,11,2020,12,5
"87",87,"江苏多地开展走访台企慰问台胞活动_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201401/t20140122_5574206.htm","2014-01-22","Compatriots",1,1,2014,1,22
"88",88,"江西各地举行台胞台属中秋联谊会_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180927_12095659.htm","2018-09-27","Compatriots",1,1,2018,9,27
"89",89,"福建省公布台胞投诉求助专线电话_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201410/t20141016_7672584.htm","2020-12-05","Compatriots",11,11,2020,12,5
"90",90,"台胞怎样参加司法考试_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/jy/zcfg/l/201710/t20171019_11854267.htm","2008-06-12","Compatriots",1,1,2008,6,12
"91",91,"港澳台居民居住证正式办理 重庆台胞踊跃申办_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056303.htm","2020-12-05","Compatriots",11,11,2020,12,5
"92",92,"台胞后裔美籍华人刘伟民回湖南桂阳家乡探亲考察_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201407/t20140729_6760725.htm","2014-07-28","Compatriots",1,1,2014,7,28
"93",93,"广州市越秀区台办积极做好台胞子女入学服务_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201705/t20170502_11757370.htm","2020-12-05","Compatriots",11,11,2020,12,5
"94",94,"台胞子女游东山岛谒祖_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/lajlwl/trueth/201106/t20110616_1890011.htm","2020-12-04","Compatriots",9,10,2020,12,4
"95",95,"东莞市台胞台属联谊会举办2017年春节联谊活动_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170120_11683792.htm","2020-12-04","Compatriots",9,10,2020,12,4
"96",96,"广西开通台胞就医绿色通道_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201307/t20130725_4495751.htm","2013-07-25","Compatriots",1,1,2013,7,25
"97",97,"日照市扎实做好台胞台属统计工作_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/201511/t20151125_11093737.htm","2020-12-04","Compatriots",9,10,2020,12,4
"98",98,"珠海各方联手救助台胞林伯勋_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201602/t20160215_11386786.htm","2016-02-15","Compatriots",1,1,2016,2,15
"99",99,"漳州市成立台胞台商服务中心_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/service/201612/t20161230_11667557.htm","2016-12-30","Compatriots",2,2,2016,12,30
"100",100,"农业农村部部署全国农机购置补贴工作 台胞台企可享同等利好_中共...","http://www.gwytb.gov.cn/tbqy/zongshu/201806/t20180622_11967752.htm","2018-03-26","Compatriots",1,1,2018,3,26
"101",101,"国台办介绍“31条惠及台胞措施”最新落实情况_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201805/t20180516_11955399.htm","2018-05-16","Compatriots",2,2,2018,5,16
"102",102,"平潭先行先试 台胞在大陆首获个税财政补贴_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456818.htm","2013-04-17","Compatriots",2,2,2013,4,17
"103",103,"厦门65周岁以上台胞可办理敬老卡_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201805/t20180504_11951757.htm","2020-12-04","Compatriots",9,10,2020,12,4
"104",104,"广西河池市台办走访慰问台商台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170120_11683827.htm","2020-12-04","Compatriots",9,10,2020,12,4
"105",105,"大连市常住台胞申领台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056310.htm","2020-12-04","Compatriots",9,10,2020,12,4
"106",106,"各地服務台胞舉措_中共中央臺灣工作辦公室、國務院臺灣事務辦公室","http://big5.gwytb.gov.cn/fuwu/index_3.htm","2020-12-04","Compatriots",9,10,2020,12,4
"107",107,"效率高!申请3小时后台胞领到居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180904_12055468.htm","2018-09-04","Compatriots",3,3,2018,9,4
"108",108,"河南省台办慰问在豫就读台湾学子并举行台胞青年中秋联谊会_中共...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180928_12096220.htm","2020-12-09","Compatriots",6,8,2020,12,9
"109",109,"台胞换大陆驾照平潭也能办理_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201412/t20141216_8382212.htm","2012-06-06","Compatriots",1,1,2012,6,6
"110",110,"四川遂宁专设服务绿色通道 方便台胞更换驾照_中共中央台湾工作...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201412/t20141216_8379192.htm","2011-08-19","Compatriots",1,1,2011,8,19
"111",111,"台胞就医常见问题_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/zn/doctor/201401/t20140113_5518512.htm","2020-12-04","Compatriots",9,10,2020,12,4
"112",112,"贯彻“31条惠及台胞措施” 厦门推出60条举措_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201804/t20180416_11943852.htm","2018-04-16","Compatriots",3,3,2018,4,16
"113",113,"灌云县警方“绿色通道”倾力服务台胞办证 喜获满页“宝贵意见...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056309.htm","2020-12-04","Compatriots",9,10,2020,12,4
"114",114,"台商台胞学习跨境电商“杭州经验”_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/cxggjc/201809/t20180914_12060265.htm","2018-09-14","Compatriots",1,1,2018,9,14
"115",115,"大陆首家依托公立医院的台胞医院上海开诊_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201312/t20131220_5399561.htm","2013-11-29","Compatriots",1,1,2013,11,29
"116",116,"各地台商台胞热议两岸领导人会面_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/local/201511/t20151111_11017106.htm","2015-11-11","Compatriots",1,1,2015,11,11
"117",117,"台胞到闽参加司法考试趋热_中共中央台湾工作办公室、国务院台湾...","http://www.gwytb.gov.cn/jy/rd1/qita1/201312/t20131231_5456859.htm","2012-12-21","Compatriots",3,3,2012,12,21
"118",118,"广州举办说明会 宣讲“广州60条惠及台胞措施”_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201808/t20180827_12051807.htm","2018-08-27","Compatriots",3,3,2018,8,27
"119",119,"常州市台办多措并举积极维护台商台胞合法权益_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201310/t20131017_5049323.htm","2020-12-03","Compatriots",7,7,2020,12,3
"120",120,"广西台办举办2018台商台胞台属普法维权(桂林专场)宣讲活动_中共...","http://www.gwytb.gov.cn/service/fwtqfa/201809/t20180928_12096209.htm","2020-12-03","Compatriots",7,7,2020,12,3
"121",121,"台胞权益保护工作动态_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/tbqy/zongshu/","2020-12-03","Compatriots",7,7,2020,12,3
"122",122,"江西涉台商事仲裁中心正式揭牌 依法维护台企台胞合法权益_中共...","http://www.gwytb.gov.cn/tbqy/zongshu/201808/t20180824_12051182.htm","2018-08-24","Compatriots",1,1,2018,8,24
"123",123,"台胞在大陆参保切实享受国家福利待遇_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/m/news/201912/t20191211_12224791.htm","2019-12-11","Compatriots",2,2,2019,12,11
"124",124,"台胞在大陆发生医疗纠纷如何投诉?_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201512/t20151203_11156519.htm","2015-12-03","Compatriots",7,7,2015,12,3
"125",125,"山东省台办召开台胞权益保护工作会座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/tbqy/201504/t20150423_9644615.htm","2015-04-23","Compatriots",2,2,2015,4,23
"126",126,"台胞申请定居大陆后,如何得知是否获得批准?_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jl/zxzx_43777/201512/t20151203_11156585.htm","2015-12-03","Compatriots",7,7,2015,12,3
"127",127,"在祖国大陆台胞可参选各级人代会代表_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zlzx/zchb/201101/t20110123_1725774.htm","1996-03-10","Compatriots",1,1,1996,3,10
"128",128,"灌雲縣警方“綠色通道”傾力服務台胞辦證 喜獲滿頁“寶貴意見...","http://big5.gwytb.gov.cn/service/gxtbsh/201809/t20180906_12056309.htm","2020-12-03","Compatriots",7,7,2020,12,3
"129",129,"广东省台联举办全省台联系统专职干部暨优秀中青年台胞培训班_中共...","http://www.gwytb.gov.cn/local/201704/t20170421_11751516.htm","2017-04-20","Compatriots",1,1,2017,4,20
"130",130,"台胞在报考大陆高校博士、硕士研究生时需要做哪些准备?_中共中央...","http://www.gwytb.gov.cn/jx/re2/lai2/201312/t20131230_5446807.htm","2020-12-03","Compatriots",7,7,2020,12,3
"131",131,"广州就推进落实“31条惠及台胞措施”开展调研_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201804/t20180426_11948700.htm","2020-12-03","Compatriots",7,7,2020,12,3
"132",132,"茂名市委台办协调相关职能部门为台商解读“31条惠及台胞措施...","http://www.gwytb.gov.cn/service/201803/t20180330_11938505.htm","2020-12-02","Compatriots",3,6,2020,12,2
"133",133,"俞正声出席第三届台胞社团论坛开幕式并致辞_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201409/t20140915_7328645.htm","2014-09-12","Compatriots",1,1,2014,9,12
"134",134,"漯河市台办召开台胞台属迎新年座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/local/201701/t20170126_11688522.htm","2017-01-24","Compatriots",1,1,2017,1,24
"135",135,"李克强:继续提供优惠,让台商台胞和大陆共享发展机遇_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201703/t20170315_11723679.htm","2017-03-15","Compatriots",1,1,2017,3,15
